"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 22 08:39:32 UTC 2025","Thu May 22 08:39:32 UTC 2025","0","tests","test_client_login","","","","test_client_login_success",""
"passed","Thu May 22 08:39:32 UTC 2025","Thu May 22 08:39:33 UTC 2025","522","tests","test_client_profile","","","","test_get_client_profile","
    Test retrieving client profile information
    "
"passed","Thu May 22 08:39:33 UTC 2025","Thu May 22 08:39:33 UTC 2025","527","tests","test_client_profile","","","","test_update_client_profile","
    Test updating client profile information
    "
